"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Storefront","0","Catalogue","3","0","Home page","0"
"0","Security","0","Input handling","58","0","Body and path input","0"
"0","Catalogue","0","Product discovery","12","0","Sorting","0"
"0","Database","0","Schema","14","0","Tables and migrations","0"
"0","Contract","0","OpenAPI conformance","18","0","Money type contract","0"
"0","Commerce","0","Checkout","22","0","Payment failures","0"
"0","Catalogue","0","Product discovery","8","0","Product detail","0"
"0","Security","0","Authorisation","14","0","Role enforcement","0"
"0","Catalogue","0","Product discovery","6","0","Categories and facets","0"
"0","Security","0","Authorisation","11","0","Token forgery","0"
"0","Commerce","0","Order lifecycle","19","0","Status transitions","0"
"0","Identity","0","Authentication","11","0","Login","0"
"0","Contract","0","OpenAPI conformance","26","0","The specification itself","0"
"0","Catalogue","0","Product discovery","13","0","Pagination","0"
"0","Security","0","Input handling","38","0","Search and filter input","0"
"0","Security","0","Input handling","43","0","Authentication input","0"
"0","Security","0","Authentication helpers","14","0","Email normalisation","0"
"0","Identity","0","Authentication","18","0","Token handling","0"
"0","Shopping cart","0","Cart contents","2","0","Remove item","0"
"0","Commerce","0","Inventory","17","0","Quantity sanity","0"
"0","Storefront","0","Catalogue","4","0","Sorting","0"
"0","Storefront","0","Catalogue","3","0","Pagination","0"
"0","Security","0","Authorisation","22","0","Anonymous access","0"
"0","Security","0","Authorisation","3","0","Account state","0"
"0","Commerce","0","Checkout","6","0","Checkout validation","0"
"0","Database","0","Schema","16","0","Constraints","0"
"0","Commerce","0","Checkout","8","0","Successful checkout","0"
"0","Shopping cart","0","Cart pricing","3","0","Free-shipping threshold","0"
"0","Security","0","Data exposure","8","0","Error responses","0"
"0","Commerce","0","Pricing","11","0","Discounts","0"
"0","Business journeys","0","Journey 7: privilege boundaries","1","0","","0"
"0","Commerce","0","Pricing","8","0","Shipping","0"
"0","Commerce","0","Pricing","10","0","Rounding","0"
"0","Security","0","Authentication helpers","15","0","Access tokens","0"
"0","Shopping cart","0","Input validation","8","0","Quantity","0"
"0","Security","0","Data exposure","9","0","Security headers","0"
"0","Commerce","0","Observability","13","0","Log redaction","0"
"0","Catalogue","0","Product discovery","19","0","Search","0"
"0","End-to-end journeys","0","E2E 5: cancellation","1","0","","0"
"0","Identity","0","Authentication","7","0","Profile and password","0"
"0","Shopping cart","0","Inventory rules","2","0","Deactivated products","0"
"0","Shopping cart","0","Cart pricing","1","0","Price tampering","0"
"0","Commerce","0","Inventory","14","0","Availability","0"
"0","Contract","0","OpenAPI conformance","9","0","Response conformance","0"
"0","Identity","0","Authentication","25","0","Registration","0"
"0","Commerce","0","Order lifecycle","2","0","Payment statuses","0"
"0","Commerce","0","Pricing","8","0","Promotion validity","0"
"0","Shopping cart","0","Access control","5","0","Authentication","0"
"0","Database","0","Schema","12","0","Referential integrity","0"
"0","Business journeys","0","Concurrency","2","0","Idempotency under concurrency","0"
"0","End-to-end journeys","0","E2E 4: declined payment","1","0","","0"
"0","Security","0","Authentication helpers","12","0","Authorization header parsing","0"
"0","Storefront","0","Catalogue","8","0","Filtering","0"
"0","Database","0","Schema","5","0","Data integrity invariants","0"
"0","Commerce","0","Payments","19","0","Card validation","0"
"0","Business journeys","0","Journey 10: admin order lifecycle","1","0","","0"
"0","Commerce","0","Checkout","4","0","Idempotency","0"
"0","Commerce","0","Pricing","8","0","Tax","0"
"0","Storefront","0","Catalogue","3","0","Search","0"
"0","Security","0","Authorisation","8","0","Object-level access (IDOR)","0"
"0","Security","0","Authentication helpers","11","0","Password hashing","0"
"0","Security","0","Data exposure","6","0","Excessive data exposure","0"
"0","Storefront","0","Framework","2","0","Browser and page objects","0"
"0","Contract","0","OpenAPI conformance","8","0","Error envelope contract","0"
"0","Commerce","0","Payments","8","0","Provider response classification","0"
"0","Business journeys","0","Journey 9: cancellation","1","0","","0"
"0","Catalogue","0","Product discovery","5","0","Listing shape","0"
"0","Storefront","0","Cart","10","0","Cart contents","0"
"0","Commerce","0","Pricing","9","0","Line totals and subtotal","0"
"0","Catalogue","0","Product discovery","18","0","Filtering","0"
"0","End-to-end journeys","0","E2E 3: order history","1","0","","0"
"0","Security","0","Authentication helpers","11","0","Password policy","0"
"0","Database","0","Schema","12","0","Indexes","0"
"0","Commerce","0","Pricing","12","0","Complete order totals","0"
"0","Commerce","0","Checkout","7","0","Order history","0"
"0","Commerce","0","Checkout","5","0","Cancellation","0"
"0","Storefront","0","Authentication","4","0","Sign in and out","0"
"0","Shopping cart","0","Inventory rules","1","0","Combined availability","0"
"0","Contract","0","OpenAPI conformance","2","0","Pagination contract","0"
"0","Database","0","Persistence","2","0","Snapshots","0"
"0","Commerce","0","Checkout","9","0","Quote","0"
"0","Shopping cart","0","Cart pricing","1","0","Totals","0"
"0","Storefront","0","Authentication","4","0","Registration","0"
"0","Database","0","Schema","10","0","Seed data","0"
"0","Shopping cart","0","Cart contents","1","0","Clear cart","0"
"0","Shopping cart","0","Inventory rules","2","0","Add item","0"
"0","Commerce","0","Inventory","4","0","Whole-basket validation","0"
"0","Security","0","Data exposure","3","0","Account enumeration","0"
"0","Storefront","0","Catalogue","6","0","Product detail","0"
"0","Database","0","Persistence","4","0","Checkout","0"
"0","Database","0","Persistence","2","0","Cart","0"
"0","Database","0","Persistence","1","0","Promotions","0"
"0","Security","0","Input handling","1","0","Integrity after hostile input","0"
"0","Shopping cart","0","Access control","1","0","Per-user isolation","0"
"0","End-to-end journeys","0","E2E 2: an edited basket","1","0","","0"
"0","Shopping cart","0","Inventory rules","1","0","Update quantity","0"
"0","Business journeys","0","Journey 5: insufficient inventory","1","0","","0"
"0","Business journeys","0","Concurrency","2","0","Oversell prevention","0"
"0","Business journeys","0","Journey 11: data isolation between customers","1","0","","0"
"0","Identity","0","Authentication","2","0","Logout","0"
"0","Commerce","0","Inventory","6","0","StockRequest","0"
"0","Shopping cart","0","Cart contents","1","0","Empty cart","0"
"0","End-to-end journeys","0","E2E 6: admin restock reaches the storefront","1","0","","0"
"0","Shopping cart","0","Input validation","1","0","Add item","0"
"0","Shopping cart","0","Cart contents","2","0","Add item","0"
"0","Business journeys","0","Journey 3: order history","1","0","","0"
"0","Security","0","Data exposure","3","0","Exposed surface","0"
"0","Shopping cart","0","Cart contents","1","0","Update quantity","0"
"0","Database","0","Persistence","2","0","Registration","0"
"0","Business journeys","0","Journey 6: admin restock","1","0","","0"
"0","Commerce","0","Order lifecycle","4","0","Order numbers","0"
"0","End-to-end journeys","0","E2E 7: admin area is off limits","1","0","","0"
"0","Business journeys","0","Journey 1: browse to confirmed order","1","0","","0"
"0","Business journeys","0","Journey 4: payment failure","1","0","","0"
"0","End-to-end journeys","0","E2E 1: register, shop, pay","1","0","","0"
"0","Business journeys","0","Journey 8: payment timeout","1","0","","0"
"0","End-to-end journeys","0","E2E 8: guest checkout is not possible","1","0","","0"
"0","Business journeys","0","Journey 2: a cart edited before checkout","1","0","","0"
"0","Business journeys","0","Concurrency","1","0","Cart consistency","0"
"0","Storefront","0","Framework","1","0","Sessions","0"
"0","Business journeys","0","Concurrency","1","0","Stock integrity","0"
