"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","665","test_the_hero_button_reaches_the_catalogue","tests.ui.tests","Sat Aug 29 06:46:08 UTC 2026","passed","Sat Aug 29 06:46:08 UTC 2026","TestHomePage","test_catalog_ui","",""
"","3","test_a_hostile_path_segment_never_500s[sql-comment]","tests.security.tests","Sat Aug 29 06:45:43 UTC 2026","passed","Sat Aug 29 06:45:43 UTC 2026","TestBodyInput","test_injection","",""
"","7","test_every_sort_option_is_accepted[relevance]","tests.api.tests","Sat Aug 29 06:45:25 UTC 2026","passed","Sat Aug 29 06:45:25 UTC 2026","TestSorting","test_catalog","",""
"A missing table means this environment runs an older schema.

        Every request touching it would return a 500, so this is the first
        thing worth knowing when a freshly deployed environment misbehaves.
        ","1","test_expected_table_exists[users]","tests.database.tests","Sat Aug 29 06:45:34 UTC 2026","passed","Sat Aug 29 06:45:34 UTC 2026","TestTablesAndMigrations","test_schema","",""
"","30","test_cart_totals_are_numbers[shipping_fee]","tests.contract.tests","Sat Aug 29 06:45:36 UTC 2026","passed","Sat Aug 29 06:45:36 UTC 2026","TestMoneyContract","test_openapi_contract","",""
"","4","test_a_malformed_payment_body_is_rejected_before_any_charge[short-cvv-]","tests.api.tests","Sat Aug 29 06:45:29 UTC 2026","passed","Sat Aug 29 06:45:29 UTC 2026","TestPaymentFailures","test_orders","",""
"","2","test_a_malformed_id_is_rejected[text]","tests.api.tests","Sat Aug 29 06:45:25 UTC 2026","passed","Sat Aug 29 06:45:25 UTC 2026","TestProductDetail","test_catalog","",""
"The two must stay distinguishable.

        Returning 401 to a signed-in customer would make clients try to
        re-authenticate in a loop that can never succeed.
        ","6","test_an_authenticated_customer_gets_403_not_401","tests.security.tests","Sat Aug 29 06:45:39 UTC 2026","passed","Sat Aug 29 06:45:39 UTC 2026","TestRoleEnforcement","test_authorization","",""
"","4","test_the_brand_facet_lists_brands_with_counts","tests.api.tests","Sat Aug 29 06:45:26 UTC 2026","passed","Sat Aug 29 06:45:26 UTC 2026","TestCategoriesAndFacets","test_catalog","",""
"Absent must never mean valid-by-default.","2","test_tokens_with_missing_or_wrong_claims_are_rejected[non-numeric-sub-]","tests.security.tests","Sat Aug 29 06:45:39 UTC 2026","passed","Sat Aug 29 06:45:39 UTC 2026","TestTokenForgery","test_authorization","",""
"","0","test_forbidden_transitions[pending-shipped]","backend.tests.unit","Sat Aug 29 06:44:28 UTC 2026","passed","Sat Aug 29 06:44:28 UTC 2026","TestOrderStatusTransitions","test_order_rules","",""
"","8","test_correct_credentials_return_a_working_token","tests.api.tests","Sat Aug 29 06:45:21 UTC 2026","passed","Sat Aug 29 06:45:21 UTC 2026","TestLogin","test_auth","",""
